Date,Rachel / Papineau,Berri1,Maisonneuve_1,Maisonneuve_2,Brébeuf,Parc,PierDup,CSC (Côte Sainte-Catherine),Pont_Jacques_Cartier,Totem_Laurier,Notre-Dame,Rachel / Hôtel de Ville,Saint-Antoine,René-Lévesque,Viger,Boyer,Maisonneuve_3,University
2013-12-12,441,382,223,443,0,269,1,0,,344,24,175,0,101,52,1,98,339
2013-12-13,410,305,183,416,0,210,5,0,,379,34,175,0,77,43,0,82,260
2013-12-14,152,92,43,124,0,74,3,0,,496,11,75,0,27,9,0,24,64
2013-12-15,29,33,21,47,0,21,0,0,,303,2,35,0,14,0,0,15,4
2013-12-16,210,214,90,240,0,94,0,0,,790,0,94,0,60,31,0,48,37
2013-12-17,260,269,128,277,0,126,0,0,,294,7,108,0,65,21,0,66,138
2013-12-18,366,240,163,353,0,143,0,9,,341,26,191,0,113,34,0,85,175
2013-12-19,398,265,176,388,0,136,11,6,,411,43,115,0,118,32,24,74,199
2013-12-20,166,125,74,173,0,65,2,0,,432,16,83,0,79,12,4,23,76
2013-12-21,61,44,26,52,0,16,4,5,,113,1,26,0,3,3,0,16,16
2013-12-22,2,19,8,44,0,4,0,0,,59,0,2,0,8,2,3,1,3
2013-12-23,0,63,55,109,0,16,0,0,,261,0,3,0,51,12,0,19,0
2013-12-24,1,36,36,39,0,14,0,0,,190,0,1,0,19,9,2,8,18
2013-12-25,0,5,13,4,0,6,0,0,,42,0,1,0,2,0,0,2,1
2013-12-26,0,7,28,75,0,10,0,0,,54,0,27,0,10,4,0,1,7
2013-12-27,0,77,62,123,0,13,3,0,,134,0,43,0,40,12,5,25,32
2013-12-28,0,36,61,70,0,17,2,7,,156,0,47,0,20,11,15,18,16
2013-12-29,0,32,35,67,0,14,2,0,,94,0,43,0,17,5,2,13,23
2013-12-30,80,29,44,81,0,27,3,0,,91,0,50,0,30,16,7,25,30
2013-12-31,74,14,35,58,0,17,0,0,,147,20,35,0,22,9,14,12,24
